smiles,BM,SA,SC,atom_count
*C(C*)C(=O)c1ccccc1,3098742659.0,3.858325751,2.158174491,12
*C(C*)C(=O)c1cc(c(cc1)Br)OC,2688111858.0,3.965416574,2.488393281,15
*C(C*)C(=O)c1ccc(cc1)C(C)(C)C,2703135559.0,3.719805392,2.442354473,16
*C(C*)C(=O)c1ccc(cc1)Cl,2566986356.0,3.843250953,2.178413807,13
*C(C*)C(=O)c1ccc(cc1)CC,2532135613.0,3.737344385,2.663855884,14
*C(C*)C(=O)c1ccc(cc1)C(C)C,2411094152.0,3.726148113,2.477756022,15
*C(C*)C(=O)c1ccc(cc1)OC,3063925087.0,3.658596207,2.188614811,14
*C(C*)C(=O)c1cc(c(cc1)C)C,3035112746.0,3.876612763,2.724992176,14
*C(C*)C(=O)c1ccc(cc1)CCC,2345436277.0,3.655645946,2.799986795,15
*C(C*)C(=O)c1ccc(cc1)C,2882950487.0,3.815341063,2.341465324,13
*C(C*)OC(=O)c1c(cccc1)OC(=O)C,3181618786.0,3.699798415,2.384217484,17
*C(C*)OC(=O)c1ccc(cc1)OC(=O)C,2782073800.0,3.611812128,2.508578189,17
*C(C*)OC(=O)CCCC(=O)c1ccccc1,3942492622.0,3.525957266,2.252052702,18
*C(C*)OC(=O)c1cc(ccc1)Br,3374836956.0,3.908435478,2.24753209,14
*C(C*)OC(=O)c1ccc(cc1)Br,2788314247.0,3.816515236,2.069312277,14
*C(C*)OC(=O)c1ccc(cc1)OC(=O)CCC,2404498692.0,3.552371837,2.838515425,19
*C(C*)OC(=O)c1c(cccc1)Cl,3365498623.0,3.805143171,2.004424366,14
*C(C*)OC(=O)c1cc(ccc1)Cl,2849035844.0,3.823256126,2.066267781,14
*C(C*)OC(=O)c1ccc(cc1)Cl,2910650737.0,3.718779608,2.198984149,14
*C(C*)OC(=O)C1CCCCC1,2634238079.0,4.135492821,2.028792513,13
*C(C*)OC(=O)CC1CCCCC1,2624693320.0,4.122741053,2.527393281,14
